"หมวด","section","รายการ","จำนวน","หน่วย","ราคาวัสดุต่อหน่วย","เงินวัสดุ","ค่าแรงต่อหน่วย"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เจาะสำรวจดิน","2","จุด","15000","30000",""
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เสาเข็ม คอร.อัดแรง 0.20x0.22x18.00 ม.","41","ต้น","3630","148830",""
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ค่าแรงตอกเสาเข็ม","41","ต้น","","","900"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ค่าสกัดหัวเสาเข็ม","41","ต้น","","","100"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ขุดดิน","75","ลบ.ม.","","","67"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ทรายราดน้ำอัดแน่น","3","ลบ.ม.","250","750","39"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","คอนกรีตหยาบ 1:3:5","2","ลบ.ม.","1820","3640","288"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","คอนกรีต ค.2 (ฐาน+ตอม่อ)","15","ลบ.ม.","2050","30750","289"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ไม้แบบ","70","ตร.ม.","315","22050",""
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ค่าแรงไม้แบบ","100","ตร.ม.","","","87"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ไม้เคร่า","21","ลบ.ฟ.","285","5985",""
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ตะปู","20","กก.","15","300",""
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เหล็กเสริม Dia 25 มม.","361","กก.","9.57","3455","2.31"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เหล็กเสริม Dia 16 มม.","593","กก.","9.57","5675","2.31"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เหล็กเสริม Dia 12 มม.","515","กก.","9.90","5099","2.31"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เหล็กเสริม Dia 9 มม.","144","กก.","10.40","1498","2.31"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","เหล็กเสริม Dia 6 มม.","105","กก.","11.06","1161","2.31"
"1 งานโครงสร้าง","1.1 ฐานราก-ตอม่อ","ลวดผูกเหล็ก","34","กก.","15","510",""
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","คอนกรีต ค.2","200","ลบ.ม.","2050","410000","289"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","ไม้แบบ","1385","ตร.ม.","315","436275",""
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","ค่าแรงไม้แบบ","1978","ตร.ม.","","","87"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","ไม้เคร่า","416","ลบ.ฟ.","285","118560",""
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","ตะปู","396","กก.","15","5940",""
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เสาค้ำไม้แบบ","740","ต้น","30","22200",""
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 25 มม.","9321","กก.","9.57","89202","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 20 มม.","2602","กก.","9.57","24901","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 16 มม.","3648","กก.","9.57","34911","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 12 มม.","925","กก.","9.90","9158","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 9 มม.","8462","กก.","10.40","88005","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","เหล็กเสริม Dia 6 มม.","824","กก.","11.06","9113","2.31"
"1 งานโครงสร้าง","1.2 งานโครงสร้าง คสล.","ลวดผูกเหล็ก","516","กก.","15","7740",""
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","เหล็ก [ 150x75x20x3.2 มม.","3145","กก.","14","44030","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","เหล็ก [ 125x50x20x3.2 มม.","1675","กก.","14","23450","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","SAG ROD Dia 9 มม.","71","กก.","10.40","738","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","BASE PLATE 200x25x9 มม.","78","กก.","14","1092","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","เหล็ก Dia 9 มม.","9","กก.","10.40","94","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","เหล็กหางปลา 75x300x6 มม.","23","กก.","14","322","7"
"1 งานโครงสร้าง","1.3 งานโครงสร้างหลังคา","ทาสีกันสนิม","553","กก.","40","22120","34"
