หมวด,รายการวัสดุ,หน่วย,ราคาไกด์(ไม่รวม VAT),จังหวัด,เดือน/ปีที่อ้างอิง,หมายเหตุ
คอนกรีต,คอนกรีตผสมเสร็จ 240 ksc,ลบ.ม.,2450,หนองคาย,,ยังไม่รวม VAT+ขนส่ง
เหล็ก,เหล็กข้ออ้อย SD40 DB12,ตัน,23500,หนองคาย,,ราคาหน้าโรงงาน
เหล็ก,เหล็กข้ออ้อย SD40 DB16,ตัน,23000,หนองคาย,,
อิฐ,อิฐมอญ,ก้อน,1.2,หนองคาย,,
อิฐ,อิฐมวลเบา หนา 7.5 ซม.,ก้อน,22,หนองคาย,,
ปูน,ปูนซีเมนต์ปอร์ตแลนด์ (50กก.),ถุง,155,หนองคาย,,
ทราย,ทรายหยาบ,ลบ.ม.,550,หนองคาย,,
หิน,หินย่อย เบอร์ 1,ลบ.ม.,600,หนองคาย,,
กระเบื้อง,กระเบื้องเซรามิคปูพื้น 24x24,ตร.ม.,350,หนองคาย,,
สี,สีน้ำอะครีลิคภายนอก (5กล.),ถัง,1200,หนองคาย,,
